mz,rt,H2O_Mix1_150_450.mzXML,H2O_Mix10_150_450.mzXML,H2O_Mix11_150_450.mzXML,H2O_Mix12_150_450.mzXML,H2O_Mix2_150_450.mzXML,H2O_Mix3_150_450.mzXML,H2O_Mix4_150_450.mzXML,H2O_Mix5_150_450.mzXML,H2O_Mix6_150_450.mzXML,H2O_Mix7_150_450.mzXML,H2O_Mix8_150_450.mzXML,H2O_Mix9_150_450.mzXML,MeOH_2.mzXML,SampleID,ID,SMILES,Adducts,LOGP,formula,mserror,db,rtscore,msscore,allscore,Final
151.0390116,2.216133333,751987.75,4917.95752,1753.456421,37620.76172,4364.618164,8173.817871,342120.0313,26598.39844,2786.61377,30805.54688,20730.99609,126030.6328,2299.662354,1,872,OC(=O)C(=O)C1=CC=CC=C1,[M+H]+,0.596,C8H6O3,0.215423616,STD,-0.114783493,-0.011601834,-0.126385327,
151.0753733,0.783215,12450.27734,7447.257324,7256.40332,7731.399902,10171.90137,2035497.625,12352.62891,9526.699219,252314.5938,7512.333008,7997.544434,8201.131836,6831.603516,6,186;935,CC(C(O)=O)C1=CC=CC=C1;OC(=O)CCC1=CC=CC=C1,[M+H]+;[M+H]+,1.467;1.633,C9H10O2;C9H10O2,0.0577970175218734;0.0577970175218734,STD;STD,-2.17192523896146;-2.32081780774959,-0.000835123808605953;-0.000835123808605953,-2.17276036277006;-2.3216529315582,
151.0754954,2.809733333,50418.78516,2175015.25,83521.5,112684.9844,19815.09766,2035497.625,43629.00391,89256.75781,34260.82813,20290.80078,4249848.5,129979.3125,16614.99609,11,186;935,CC(C(O)=O)C1=CC=CC=C1;OC(=O)CCC1=CC=CC=C1,[M+H]+;[M+H]+,1.467;1.633,C9H10O2;C9H10O2,0.865805653259094;0.865805653259094,STD;STD,-0.0562984234785477;-0.0823406664677405,-0.187404857303852;-0.187404857303852,-0.243703280782399;-0.269745523771592,
151.1119588,3.506033333,26820.70117,207874.8906,3048712,3858478.5,23145.9668,23220.31836,25842.33594,685749.3125,20401.58008,17054.42383,17768.06641,21716.11328,14832.97168,4,139;141;224;226,CC(=C)[C@@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=CC(O)=C(C)C=C1,[M+H]+;[M+H]+;[M+H]+;[M+H]+,1.756;1.756;2.487;2.487,C10H14O;C10H14O;C10H14O;C10H14O,1.38123823302669;1.38123823302669;1.38123823302669;1.38123823302669,STD;STD;STD;STD,-0.0102181241454158;-0.0102181241454158;-0.0138478535072724;-0.0138478535072724,-0.476954764093673;-0.476954764093673;-0.476954764093673;-0.476954764093673,-0.487172888239089;-0.487172888239089;-0.490802617600946;-0.490802617600946,
152.0566966,0.683751667,2043002.5,8327.90918,2240.775879,1603.060059,3157.710205,70080.29688,931467.0625,5545.026855,2235.681641,2396749,6351677.5,37577.18359,3587.081055,11,746,NC1=NC(=O)C2=C(N1)N=CN2,[M+H]+,0.231,C5H5N5O,0.011665997,STD,-1.35615984,-3.40E-05,-1.356193863,
152.0707347,1.299955,9859.885742,3926948.5,6520.130859,9590.947266,72707.71875,2821679.75,556621.9375,6746.821777,7031.405762,1210904.375,6862.680664,47066.875,6550.222656,2,167,CC(=O)NC1=CC=C(O)C=C1,[M+H]+,0.314,C8H9NO2,0.796733384,STD,-0.661631797,-0.158696021,-0.820327819,
152.1069946,0.648028333,3114.367432,2282.927002,3546.78418,8723.293945,100,4568.770996,100,100,1876.699463,4976.431641,10992.13086,10043482,1816.438965,12,566,CNCCC1=CC=C(O)C=C1,[M+H]+,0.36,C9H13NO,-0.028736969,STD,-1.500488319,-0.000206453,-1.500694773,
152.1433258,2.601366667,2411.58374,1464.48584,1400.427734,1608.675781,24065436,3541.463135,1400.025391,2146.149414,2819.958984,2122.656494,1440.80603,1767.451294,1621.496338,5,766,NC12CC3CC(CC(C3)C1)C2,[M+H]+,2.312,C10H17N,-0.38578318,STD,-0.381040397,-0.037207165,-0.418247563,
153.0405884,0.58849,27086.14844,4179.947266,1880.816528,7192.569824,1179866.5,315058.8438,12068.17383,2140.696777,359748.6875,20746.88086,35608.33594,2038.271606,100,5,844;847,O=C1NC(=O)C2=CNNC2=N1;O=C1NC2=C(NC=N2)C(=O)N1,[M+H]+;[M+H]+,-0.865;-0.654,C5H4N4O2;C5H4N4O2,-0.797311976496015;-0.797311976496015,STD;STD,-0.800440623370702;-0.917415470333617,-0.158926596965995;-0.158926596965995,-0.959367220336697;-1.07634206729961,
153.0547841,2.466966667,68816.03125,17657.94141,12343.80078,180900.2031,19916.49609,1008398.313,1643969.875,88655.03125,2272667,10456.69824,830536.375,5705015.5,11430.16992,12,305;606;817;921;922;924;1052,CC1=CC(=CC=C1O)C(O)=O;COC1=CC(C=O)=CC=C1O;O[C@H](C(O)=O)C1=CC=CC=C1;OC(=O)CC1=CC(O)=CC=C1;OC(=O)CC1=CC=C(O)C=C1;OC(=O)CC1=CC=CC=C1O;OCC(=O)C1=CC=C(O)C=C1,[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+,0.449;0.321;-0.16;0.328;0.117;0.328;-0.507,C8H8O3;C8H8O3;C8H8O3;C8H8O3;C8H8O3;C8H8O3;C8H8O3,1.01296406953836;1.01296406953836;1.01296406953836;1.01296406953836;1.01296406953836;1.01296406953836;1.01296406953836,STD;STD;STD;STD;STD;STD;STD,-0.0200960073917507;-0.0107028657229841;-0.0016395293872742;-0.0111406969726094;-0.00179817514207175;-0.0111406969726094;-0.0208327502733577,-0.256524051543929;-0.256524051543929;-0.256524051543929;-0.256524051543929;-0.256524051543929;-0.256524051543929;-0.256524051543929,-0.27662005893568;-0.267226917266913;-0.258163580931203;-0.267664748516538;-0.258322226686001;-0.267664748516538;-0.277356801817287,
