"mz","rt","H2O_Mix1.mzXML","H2O_Mix10.mzXML","H2O_Mix11.mzXML","H2O_Mix12.mzXML","H2O_Mix2.mzXML","H2O_Mix3.mzXML","H2O_Mix4.mzXML","H2O_Mix5.mzXML","H2O_Mix6.mzXML","H2O_Mix7.mzXML","H2O_Mix8.mzXML","H2O_Mix9.mzXML","MeOH_2.mzXML","SampleID","PrimaryIso","ID","SMILES","Adducts","LOGP","formula","mserror","db","Score","ranking"
152.037719726562,0.475863333333333,100,100,100,100,100,100,100,100,60674.171875,100,100,100,100,9,152.037719726562,"635","CS(=O)CC(N)C(O)=O","[M+H]+","-4.24","C4H9NO3S","0.79537211377463302","STD","-0.664028453814772","1"
153.090779622396,8.3436,74429.171875,62932.71484375,57064.29296875,66707.78125,67138.3828125,66526.8671875,64114.3671875,56873.58203125,62044.234375,64218.9609375,64998.19140625,54578.3125,58406.11328125,1,153.090779622396,"368","CCC1=CC(OC)=C(O)C=C1","[M+H]+","1.5629999999999999","C9H12O2","-1.5348906363585799","STD","-103.732635499985","1"
153.090967814128,4.0205,86727.53125,48682.50390625,297775.53125,2711739.75,45472.8984375,55704.2734375,48254.62109375,58338.44921875,51843.07421875,47186.1953125,339463.90625,53140,43329.30859375,4,153.090967814128,"368","CCC1=CC(OC)=C(O)C=C1","[M+H]+","1.5629999999999999","C9H12O2","-0.30560831296180402","STD","-2.11662389055536","1"
153.091074625651,3.51085,86727.53125,55237.7993164062,297775.53125,265736.09375,45472.8984375,55704.2734375,48254.62109375,58338.44921875,40834.0234375,47186.1953125,43799.41015625,53140,43329.30859375,3,153.091074625651,"368","CCC1=CC(OC)=C(O)C=C1","[M+H]+","1.5629999999999999","C9H12O2","0.392091120797953","STD","-0.316226669412595","1"
158.08088684082,4.62548333333333,8194.07421875,8745.1650390625,6572.73046875,8273.0361328125,6948.6337890625,7838.8359375,12783.5419921875,7798.59619140625,71171.8359375,10652.541015625,6268.0244140625,9794.3515625,6161.505859375,9,158.08088684082,"66","[H][C@]1(CCCN1C(C)=O)C(O)=O","[M+H]+","-0.157","C7H11NO3","-1.8431018796548599","STD","-21.540268240249","1"
158.081202189128,0.537141666666667,7915.00537109375,9463455,6668.40478515625,9846.39453125,7167.1591796875,8157.75830078125,8483.703125,6794.53271484375,7900.0703125,6834.81689453125,8433.005859375,570401.3125,8251.572265625,2,158.081202189128,"66","[H][C@]1(CCCN1C(C)=O)C(O)=O","[M+H]+","-0.157","C7H11NO3","0.15175193050259","STD","-15.367442704973","1"
158.117523193359,0.60916,8517051,5263.86572265625,8108.17333984375,6029.79052734375,18191.021484375,8386.6982421875,199864.09375,8102.0673828125,6097.41015625,7868.814453125,18102.349609375,5414.5322265625,5343.4931640625,1,158.117523193359,"729","NC[C@H]1CC[C@@H](CC1)C(O)=O","[M+H]+","0.29799999999999999","C8H15NO2","-0.25618059160095502","STD","-17.735780569257","1"
160.133422851562,1.60890833333333,100,1695.48327636719,1567.02734375,11625.6953125,2306.84741210938,1453.39013671875,1767.943359375,12445.193359375,7529763,32071.5859375,3641.42504882812,7577048.5,1164.86657714844,12,160.133422851562,"412","CCCCCCC(N)C(O)=O","[M+H]+","-0.19","C8H17NO2","1.3054836322136401","STD","-4.74039628385552","1"
161.11696879069,3.80085,58578.28125,100,100,4413.73583984375,9848.1171875,8642.904296875,5230.55078125,20100.3828125,4609.54150390625,5155.3349609375,3012.80297851562,3392.08911132812,5669.34130859375,1,161.11696879069,"414","CCCCCCC(O)C(O)=O","[M+H]+","2.0430000000000001","C8H16O3","-1.6175162172584601","STD","-2.89622298957812","1"
162.05815633138,0.53605,100,353101.625,100,100,100,2401259.5,100,100,27894.29296875,100,1328.12023925781,100,1229.66271972656,6,162.05815633138,"718","NC(CSCC=C)C(O)=O","[M+H]+","-1.861","C6H11NO2S","-1.09817749256984","STD","-6.53006087642298","1"
