"mz","rt","H2O_Mix1.mzXML","H2O_Mix10.mzXML","H2O_Mix11.mzXML","H2O_Mix12.mzXML","H2O_Mix2.mzXML","H2O_Mix3.mzXML","H2O_Mix4.mzXML","H2O_Mix5.mzXML","H2O_Mix6.mzXML","H2O_Mix7.mzXML","H2O_Mix8.mzXML","H2O_Mix9.mzXML","MeOH_2.mzXML","SampleID","PrimaryIso","ID","SMILES","Adducts","LOGP","formula","mserror","db"
151.03901163737,2.21613333333333,751987.75,4917.95751953125,1753.45642089844,37620.76171875,4364.6181640625,8173.81787109375,342120.03125,26598.3984375,2786.61376953125,30805.546875,20730.99609375,126030.6328125,2299.66235351562,1,151.03901163737,"2338;2339;2340;2341;32354","OC(=O)C(=O)C1=CC=CC=C1;OC(=O)C(=O)C1=CC=CC=C1;OC(=O)C(=O)C1=CC=CC=C1;OC(=O)C(=O)C1=CC=CC=C1;OC(=O)C(=O)C1=CC=CC=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;-0.875;-0.875;-0.875;0.173;0.596","C8H6O3;C8H6O3;C8H6O3;C8H6O3;C8H6O3","0.215423614200989;0.215423614200989;0.215423614200989;0.215423614200989;0.215423614200989","HMDB;HMDB;HMDB;HMDB;STD"
151.075373331706,0.783215,12450.27734375,7447.25732421875,7256.4033203125,7731.39990234375,10171.9013671875,2035497.625,12352.62890625,9526.69921875,252314.59375,7512.3330078125,7997.54443359375,8201.1318359375,6831.603515625,6,151.075373331706,"1632;3923;3924;3925;3926;5556;5557;5558;5559;17183;22718;31668;32417","OC(=O)CCC1=CC=CC=C1;COC1=CC(C=C)=CC=C1O;COC1=CC(C=C)=CC=C1O;COC1=CC(C=C)=CC=C1O;COC1=CC(C=C)=CC=C1O;CC(=O)OCC1=CC=CC=C1;CC(=O)OCC1=CC=CC=C1;CC(=O)OCC1=CC=CC=C1;CC(=O)OCC1=CC=CC=C1;COC1=CC(C=C)=CC=C1O;CC(=O)OCC1=CC=CC=C1;CC(C(O)=O)C1=CC=CC=C1;OC(=O)CCC1=CC=CC=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;-1.056;1.144;1.144;1.144;1.144;-2.134;-2.134;-0.512;-0.512;4.414;2.451;1.467;1.633","C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2","0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802;0.0577970156405802","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD;STD"
151.075495402018,2.80973333333333,50418.78515625,2175015.25,83521.5,112684.984375,19815.09765625,2035497.625,43629.00390625,89256.7578125,34260.828125,20290.80078125,4249848.5,129979.3125,16614.99609375,11,151.075495402018,"1632;3923;3924;3925;3926;5556;5557;5558;5559;17183;22718;31668;32417","OC(=O)CCC1=CC=CC=C1;COC1=CC(C=C)=CC=C1O;COC1=CC(C=C)=CC=C1O;COC1=CC(C=C)=CC=C1O;COC1=CC(C=C)=CC=C1O;CC(=O)OCC1=CC=CC=C1;CC(=O)OCC1=CC=CC=C1;CC(=O)OCC1=CC=CC=C1;CC(=O)OCC1=CC=CC=C1;COC1=CC(C=C)=CC=C1O;CC(=O)OCC1=CC=CC=C1;CC(C(O)=O)C1=CC=CC=C1;OC(=O)CCC1=CC=CC=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;-1.056;1.144;1.144;1.144;1.144;-2.134;-2.134;-0.512;-0.512;4.414;2.451;1.467;1.633","C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2;C9H10O2","0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126;0.865805654764126","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD;STD"
151.086288452148,3.53746666666667,2706.50537109375,21639.271484375,1950.10083007812,2401.09252929688,100,1534.27661132812,139792.296875,238965.453125,1281.07775878906,100,100,1484.68591308594,1116.30834960938,8,151.086288452148,"29897;29898;29899;29900;29901","CN(C)C1=CC=C(C=C1)N=O;CN(C)C1=CC=C(C=C1)N=O;CN(C)C1=CC=C(C=C1)N=O;CN(C)C1=CC=C(C=C1)N=O;CN(C)C1=CC=C(C=C1)N=O","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;0.667;0.667;0.667;0.667;0.667","C8H10N2O;C8H10N2O;C8H10N2O;C8H10N2O;C8H10N2O","-2.04881498345771;-2.04881498345771;-2.04881498345771;-2.04881498345771;-2.04881498345771","HMDB;HMDB;HMDB;HMDB;HMDB"
151.111958821615,3.50603333333333,26820.701171875,207874.890625,3048712,3858478.5,23145.966796875,23220.318359375,25842.3359375,685749.3125,20401.580078125,17054.423828125,17768.06640625,21716.11328125,14832.9716796875,4,151.111958821615,"2448;2449;2450;2451;2452;2453;3378;3379;3380;16091;16092;16093;31621;31623;31706;31708","CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=C(O)C=C(C)C=C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(=C)[C@@H]1CC=C(C)C(=O)C1;CC(=C)[C@H]1CC=C(C)C(=O)C1;CC(C)C1=C(O)C=C(C)C=C1;CC(C)C1=CC(O)=C(C)C=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;-0.965;-0.965;-1.365;-1.365;-1.365;-1.365;6.941;6.941;6.941;-0.734;-0.734;-0.734;1.756;1.756;2.487;2.487","C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O;C10H14O","1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352;1.38123823039352","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD;STD;STD;STD"
152.056696573893,0.683751666666667,2043002.5,8327.9091796875,2240.77587890625,1603.06005859375,3157.71020507812,70080.296875,931467.0625,5545.02685546875,2235.681640625,2396749,6351677.5,37577.18359375,3587.0810546875,11,152.056696573893,"359;11375;11376;11377;32228","NC1=NC(=O)C2=C(N1)N=CN2;NC1=NC(=O)C2=C(N1)N=CN2;NC1=NC(=O)C2=C(N1)N=CN2;NC1=NC(=O)C2=C(N1)N=CN2;NC1=NC(=O)C2=C(N1)N=CN2","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;-2.367;-0.156;-0.156;-0.156;0.231","C5H5N5O;C5H5N5O;C5H5N5O;C5H5N5O;C5H5N5O","0.0116659986253632;0.0116659986253632;0.0116659986253632;0.0116659986253632;0.0116659986253632","HMDB;HMDB;HMDB;HMDB;STD"
152.070734659831,1.299955,9859.8857421875,3926948.5,6520.130859375,9590.947265625,72707.71875,2821679.75,556621.9375,6746.82177734375,7031.40576171875,1210904.375,6862.6806640625,47066.875,6550.22265625,2,152.070734659831,"2382;2383;2384;2385;2386;2387;2388;2389;2390;2391;2392;2393;2394;2395;2396;2397;2398;2399;2400;5730;6574;6575;6576;6577;6578;14238;14239;14240;14241;14242;14243;14244;14245;14246;14247;14248;14249;14250;14251;14252;14253;14254;14255;14256;14257;14258;14259;14260;14261;14262;14263;14264;14265;14266;14267;14268;15032;15033;15034;15035;15036;15037;15038;15039;15040;15041;15042;23092;23093;23094;23095;25256;25257;25258;25259;25260;29886;29887;29888;29889;29890;29891;29892;29893;29894;29895;31649","CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CNC1=CC=CC=C1C(O)=O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;CC(=O)NC1=CC=C(O)C=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;NC(C(O)=O)C1=CC=CC=C1;CNC1=CC=CC=C1C(O)=O;CNC1=CC=CC=C1C(O)=O;CNC1=CC=CC=C1C(O)=O;CNC1=CC=CC=C1C(O)=O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;CC(=O)NC1=CC=CC=C1O;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;OC(=O)CNC1=CC=CC=C1;CC(=O)NC1=CC=C(O)C=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;0.658;0.658;0.658;-5.513;-5.513;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-2.714;-1.514;-1.514;-1.514;-1.514;4.498;1.277;1.277;1.277;1.46;1.46;1.46;1.46;1.46;1.46;1.46;0.761;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;5.046;0.787;0.787;0.787;0.787;0.787;0.787;0.787;3.624;3.624;3.624;3.624;0.38;0.38;0.38;0.38;2.47;2.47;2.47;2.47;2.47;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.314","C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2;C8H9NO2","0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261;0.796733381865261","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD"
152.106994628906,0.648028333333333,3114.36743164062,2282.92700195312,3546.7841796875,8723.2939453125,100,4568.77099609375,100,100,1876.69946289062,4976.431640625,10992.130859375,10043482,1816.43896484375,12,152.106994628906,"6804;14760;25716;25717;25718;25719;25720;25721;25722;25723;25724;32048","CC(N)C(O)C1=CC=CC=C1;C[C@@H](N)[C@@H](O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CC(N)C(O)C1=CC=CC=C1;CNCCC1=CC=C(O)C=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;1.043;3.013;1.046;2.433;2.433;2.433;2.433;2.433;2.433;-0.416;3.572;0.36","C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO;C9H13NO","-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318;-0.0287369674649318","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD"
152.143325805664,2.60136666666667,2411.58374023438,1464.48583984375,1400.427734375,1608.67578125,24065436,3541.46313476562,1400.025390625,2146.1494140625,2819.958984375,2122.65649414062,1440.80603027344,1767.45129394531,1621.49633789062,5,152.143325805664,"19813;19814;19815;19816;19817;19818;19819;19820;19821;19822;19823;19824;19825;19826;19827;19828;19829;19830;19831;19832;32248","NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2;NC12CC3CC(CC(C3)C1)C2","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;4.147;4.147;4.147;4.147;4.147;4.147;4.147;4.147;4.147;4.147;4.147;-0.299;-0.299;-0.0880000000000002;-0.0880000000000002;-0.0880000000000002;-0.0880000000000002;-0.0880000000000002;-0.0880000000000002;-0.0880000000000002;2.312","C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N;C10H17N","-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499;-0.385783179294499","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD"
153.040588378906,0.58849,27086.1484375,4179.947265625,1880.81652832031,7192.56982421875,1179866.5,315058.84375,12068.173828125,2140.69677734375,359748.6875,20746.880859375,35608.3359375,2038.27160644531,100,5,153.040588378906,"950;951;952;953;954;955;956;957;958;1659;1660;1661;1662;1663;1664;1665;1666;1667;12138;12139;12140;12141;12142;12143;12144;12947;12948;12949;12950;12951;12952;12953;12954;12955;12956;12957;12958;12959;32326;32329","O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC2=C(NC=N2)C(=O)N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC(=O)C2=CNNC2=N1;O=C1NC2=C(NC=N2)C(=O)N1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;-2.272;-2.272;-2.272;-2.272;-2.272;-2.272;-2.272;-2.272;-2.272;-1.343;-1.343;-1.343;-1.343;-1.343;-1.343;-1.343;-1.343;-1.343;1.505;1.505;1.505;1.505;1.505;1.505;1.505;2.12;2.12;-1.044;-1.044;-1.044;-1.044;-1.044;-1.044;-1.044;-1.044;-1.044;-1.044;-1.044;-0.865;-0.654","C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2;C5H4N4O2","-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592;-0.797311974824592","HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;HMDB;STD;STD"
