Compound,Chemical Formula,Compounds - proteins that bind compound,Compounds - enzymes activated or inhibited,Pathways of compound,Reactions that consume compound,Reactions that produce compound,SMILES,MW
CPD0-2249,C312H523N6O200P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%34(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC%33(C(=O)[O-])(OC(C(OC%29(C(O)C(OC%28(C(O)C(OC3(C(O)C(C(O)C(COC2(OC(CO)C(O)C(O)C(O)2))O3)OC%26(OC(CO)C(O)C(O)C(OC%25(C(O)C(O)C(O)C(COC%24(C(O)C(O)C(O)C(C(O)COC%22(OC(C(O)C(OC%21(C(OC(C)=O)C(OC%20(OC(COC%19(C(OC%17(OC(C(O)C(OC%16(C(OC(C)=O)C(OC%15(OC(COC%14(C(OC%12(OC(C(O)C(OC%11(C(OC(C)=O)C(OC%10(OC(COC9(C(OC7(OC(C(O)C(OC6(C(OC(C)=O)C(OC5(OC(COC4(C(O)C(O)C(C(CO)O)O4))C(O)C(O)C(O)5))C(O)C(C)O6))C(NC(=O)C)7)COC8(C(O)C(O)C(O)C(CO)O8)))C(O)C(C(CO)O)O9))C(O)C(O)C(O)%10))C(O)C(C)O%11))C(NC(=O)C)%12)COC%13(C(O)C(O)C(O)C(CO)O%13)))C(O)C(C(CO)O)O%14))C(O)C(O)C(O)%15))C(O)C(C)O%16))C(NC(=O)C)%17)COC%18(C(O)C(O)C(O)C(CO)O%18)))C(O)C(C(CO)O)O%19))C(O)C(O)C(O)%20))C(O)C(C)O%21))C([N-]C(=[O+])C)%22)COC%23(C(O)C(O)C(O)C(CO)O%23)))O%24))O%25))%26)))C(OP([O-])(=O)[O-])C(C(O)COC%27(C(O)C(O)C(O)C(C(O)CO)O%27))O%28))C(OP([O-])(=O)[O-])C(C(O)CO)O%29))C(OC%31(C(=O)[O-])(CC(C(OC%30(OC(C(O)C(O)C(O)%30)C))C(C(O)CO)O%31)OC%32(C(=O)[O-])(CC(C(O)C(C(O)CO)O%32)O)))C%33)C(O)CO))C%34OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,7690.082807
CPD0-2294,C258H426N14O149P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC%23(C(C(OC(COC%22(C(=O)[O-])(O[CH](C(O)CO)C(OC%20(OC(C(O)CO)C(OP([O-])([O-])=O)C(OC%19(OC(C(O)COC%13(OC(C(OC%12(OC(CO)C(OC%11(OC(C(=O)[O-])C(OC%10(OC(C)C(NC(C)=O)C(OC9(OC(CO)C(OC8(OC(C(=O)[O-])C(OC7(OC(C)C(NC(C)=O)C(OC6(OC(CO)C(OC5(OC(C(=O)[O-])C(OC4(OC(C)C(NC(C)=O)C(OC3(OC(CO)C(OC2(OC(C(=O)[O-])C(OC1(OC(C)C(NC(C)=O)C(O)C(O)1))C(O)C(NC(C)=O)2))C(O)C(NC(C)=O)3))C(O)4))C(O)C(NC(C)=O)5))C(O)C(NC(C)=O)6))C(O)7))C(O)C(NC(C)=O)8))C(O)C(NC(C)=O)9))C(O)%10))C(O)C(NC(C)=O)%11))C(O)C(NC(C)=O)%12))CO)C(O)C(O)C(O)%13))C(OP([O-])(=O)[O-])C(OC%18(OC(COC%14(OC(CO)C(O)C(O)C(O)%14))C(O)C(OC%17(OC(CO)C(O)C(O)C(OC%16(OC(COC%15(OC(C(O)CO)C(O)C(O)C(O)%15))C(O)C(O)C(O)%16))%17))C(O)%18))C(O)%19))C(O)%20))C(OC%21(O[CH](C(CO)O)C(O)C(O)C%21)C(=O)[O-])C%22))C%23OP([O-])([O-])=O)OCC%24(OC(OP(=O)([O-])[O-])C(NC(CC(O)CCCCCCCCCCC)=O)C(OC(CC(O)CCCCCCCCCCC)=O)C(O)%24))NC(CC(OC(CCCCCCCCCCC)=O)CCCCCCCCCCC)=O),6242.623375
CPD-12261,C267H421N31O96P4,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(OP([O-])(=O)OC8(C(NC(=O)C)C(OC(C)C(=O)NC(C)C(=O)NC(C(=O)[O-])CCC(=O)NC(CCCC([N+])C(=O)[O-])C(NC(C)C(=O)NC(C)C([O-])=O)=O)C(OC7(OC(CO)C(OC6(C(NC(=O)C)C(OC(C)C(=O)NC(C)C(=O)NC(C(=O)[O-])CCC(=O)NC(CCCC([N+])C(=O)[O-])C(NC(C)C(=O)NC(C(=O)[O-])CCCC(C(NC(C)C(=O)NC(C)C([O-])=O)=O)NC(=O)CCC(C(=O)[O-])NC(=O)C(C)NC(=O)C(C)OC4(C(OC3(OC(CO)C(OC2(C(NC(=O)C)C(OC(C)C(=O)NC(C)C(=O)NC(C(=O)[O-])CCC(=O)NC(CCCC([N+])C(=O)[O-])C(NC(C)C(=O)NC(C)C([O-])=O)=O)C(OC1(OC(CO)C(O)C(O)C(NC(=O)C)1))C(CO)O2))C(O)C(NC(=O)C)3))C(CO)OC(C(NC(=O)C)4)OP(OP(OCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)CCC=C(CCC=C(CCC=C(CCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C)C)C)C)([O-])=O)([O-])=O))=O)C(OC5(OC(CO)C(O)C(O)C(NC(=O)C)5))C(CO)O6))C(O)C(NC(=O)C)7))C(CO)O8))([O-])=O)C)C)C)C)C)C)C,5736.913858
CPD0-2214,C191H310N4O107P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCOP([O-])(=O)OP([O-])(=O)OC%19(OC(C(O)C(OC%18(C(OC(C)=O)C(OC%17(OC(COC%16(C(OC%14(OC(C(O)C(OC%13(C(OC(C)=O)C(OC%12(OC(COC%11(C(OC9(OC(C(O)C(OC8(C(OC(C)=O)C(OC7(OC(COC6(C(OC4(OC(C(O)C(OC3(C(OC(C)=O)C(OC2(OC(COC1(C(O)C(O)[CH](C(CO)O)O1))C(O)C(O)C(O)2))C(O)C(C)O3))C(NC(=O)C)4)COC5(C(O)C(O)C(O)C(CO)O5)))C(O)[CH](C(CO)O)O6))C(O)C(O)C(O)7))C(O)C(C)O8))C(NC(=O)C)9)COC%10(C(O)C(O)C(O)C(CO)O%10)))C(O)[CH](C(CO)O)O%11))C(O)C(O)C(O)%12))C(O)C(C)O%13))C(NC(=O)C)%14)COC%15(C(O)C(O)C(O)C(CO)O%15)))C(O)[CH](C(CO)O)O%16))C(O)C(O)C(O)%17))C(O)C(C)O%18))C(NC(=O)C)%19)COC%20(C(O)C(O)C(O)C(CO)O%20)))C)C)C)C)C)C)C,4435.857094
CPD0-2264,C192H333N2O101P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)NC%14(C(OP(=O)([O-])[O-])OC(COC%13(C(C(C(C(COC%12(C(=O)[O-])(OC(C(OC8(C(O)C(OC7(C(O)C(OC2(C(O)C(C(O)C(COC1(OC(CO)C(O)C(O)C(O)1))O2)OC5(OC(CO)C(O)C(O)C(OC4(C(O)C(O)C(O)C(COC3(C(O)C(O)C(O)C(C(O)CO)O3))O4))5)))C(OP([O-])(=O)[O-])C(C(O)COC6(C(O)C(O)C(O)C(C(O)CO)O6))O7))C(OP([O-])(=O)[O-])C(C(O)CO)O8))C(OC%10(C(=O)[O-])(CC(C(OC9(OC(C(O)C(O)C(O)9)C))C(C(O)CO)O%10)OC%11(C(=O)[O-])(CC(C(O)C(C(O)CO)O%11)O)))C%12)C(O)CO))O%13)OP([O-])([O-])=O)OC(CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))C(O)C(OC(=O)CC(O)CCCCCCCCCCC)%14),4418.079382
CPD0-2293,C181H314N3O103P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%14(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC%13(C(=O)[O-])(OC(C(OC9(C(O)C(OC8(C(O)C(OC3(C(O)C(C(O)C(COC2(OC(CO)C(O)C(O)C(O)2))O3)OC6(OC(CO)C(O)C(O)C(OC5(C(O)C(O)C(O)C(COC4(C(O)C(O)C(O)C(C(O)CO)O4))O5))6)))C(OP([O-])(=O)[O-])C(C(O)COC7(C(O)C(O)C(O)C(C(O)CO)O7))O8))C(OP([O-])(=O)[O-])C(C(O)CO)O9))C(OC%11(C(=O)[O-])(CC(C(OC%10(OC(C(O)C(O)C(O)%10)C))C(C(O)CO)O%11)OC%12(C(=O)[O-])(CC(C(O)C(C(O)CO)O%12)O)))C%13)C(O)CO))C%14OP(OC%15(OCC([N+])C(O)C(O)%15))([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,4311.915785
CPD0-2271,C176H303N2O100P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%14(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC%13(C(=O)[O-])(OC(C(OC9(C(O)C(OC8(C(O)C(OC3(C(O)C(C(O)C(COC2(OC(CO)C(O)C(O)C(O)2))O3)OC6(OC(CO)C(O)C(O)C(OC5(C(O)C(O)C(O)C(COC4(C(O)C(O)C(O)C(C(O)CO)O4))O5))6)))C(OP([O-])(=O)[O-])C(C(O)COC7(C(O)C(O)C(O)C(C(O)CO)O7))O8))C(OP([O-])(=O)[O-])C(C(O)CO)O9))C(OC%11(C(=O)[O-])(CC(C(OC%10(OC(C(O)C(O)C(O)%10)C))C(C(O)CO)O%11)OC%12(C(=O)[O-])(CC(C(O)C(C(O)CO)O%12)O)))C%13)C(O)CO))C%14OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,4179.849716
CPD0-2259,C169H291N2O94P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%13(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC%12(C(=O)[O-])(OC(C(OC8(C(O)C(OC7(C(O)C(OC3(C(O)C(C(O)C(COC2(C(O)C(C(O)C(CO)O2)O))O3)OC5(OC(CO)C(O)C(O)C(OC4(OC(CO)C(O)C(O)C(O)4))5)))C(OP([O-])(=O)[O-])C(C(O)COC6(C(O)C(O)C(O)C(C(O)CO)O6))O7))C(OP([O-])(=O)[O-])C(C(O)CO)O8))C(OC%10(C(=O)[O-])(CC(C(OC9(OC(C(O)C(O)C(O)9)C))C(C(O)CO)O%10)OC%11(C(=O)[O-])(CC(C(O)C(C(O)CO)O%11)O)))C%12)C(O)CO))C%13OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3987.786328
CPD0-1151,C162H282N2O92P5,NA,NA,NA,NA,RXN0-5383,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC%11(C(C(OC(COC%10(C(=O)[O-])(O[CH](C(O)CO)C(OC8(OC(C(O)CO)C(OP([O-])([O-])=O)C(OC7(OC(C(O)COC1(OC(C(O)CO)C(O)C(O)C(O)1))C(OP([O-])(=O)[O-])C(OC6(OC(COC2(OC(CO)C(O)C(O)C(O)2))C(O)C(OC5(OC(CO)C(O)C(O)C(OC4(OC(COC3(OC(C(O)CO)C(O)C(O)C(O)3))C(O)C(O)C(O)4))5))C(O)6))C(O)7))C(O)8))C(OC9(O[CH](C(CO)O)C(O)C(O)C9)C(=O)[O-])C%10))C%11OP([O-])([O-])=O)OCC%12(OC(OP(OP([O-])(=O)[O-])([O-])=O)C(NC(CC(O)CCCCCCCCCCC)=O)C(OC(CC(O)CCCCCCCCCCC)=O)C(O)%12))NC(CC(OC(CCCCCCCCCCC)=O)CCCCCCCCCCC)=O),3893.699835
CPD0-2261,C163H281N2O89P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%12(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC%11(C(=O)[O-])(OC(C(OC7(C(O)C(OC6(C(O)C(OC3(C(O)C(C(O)C(COC2(C(O)C(C(O)C(CO)O2)O))O3)OC4(OC(CO)C(O)C(O)C(O)4)))C(OP([O-])(=O)[O-])C(C(O)COC5(C(O)C(O)C(O)C(C(O)CO)O5))O6))C(OP([O-])(=O)[O-])C(C(O)CO)O7))C(OC9(C(=O)[O-])(CC(C(OC8(OC(C(O)C(O)C(O)8)C))C(C(O)CO)O9)OC%10(C(=O)[O-])(CC(C(O)C(C(O)CO)O%10)O)))C%11)C(O)CO))C%12OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3825.733505
